area	amenities	floors	bedrooms	bathrooms	property_type	selling_type	road_size	road_type	location_two
3.0	4	3.0	4.0	4.0	2.0	1.0	13.0	19.0	17.0
3.75	4	3.0	5.0	3.0	2.0	1.0	13.0	19.0	4.0
10.0	4	2.5	6.0	5.0	2.0	1.0	20.0	19.0	4.0
42.60043828	4	3.5	7.0	4.0	2.0	1.0	13.0	19.0	25.0
42.60043828	4	2.5	6.0	4.0	2.0	1.0	26.0	19.0	15.0
4.0	0	2.5	3.0	2.5	2.0	0.0	13.0	19.0	17.0
24.0	5	3.0	8.0	6.0	2.0	1.0	13.0	19.0	15.0
6.25	6	2.5	7.0	7.0	2.0	1.0	14.0	21.0	4.0
5.0	5	2.5	6.0	5.0	2.0	1.0	15.0	19.0	4.0
8.0	3	2.5	8.0	2.5	2.0	1.0	16.0	22.0	6.0
8.0	4	2.5	7.0	5.0	2.0	1.0	20.0	19.0	15.0
32.0	7	2.5	4.0	2.5	2.0	0.0	16.0	19.0	4.0
2.75	5	3.0	2.5	2.5	2.0	1.0	12.0	19.0	15.0
4.5	5	2.5	2.5	2.5	2.0	1.0	8.0	19.0	11.0
12.0	6	2.5	5.0	3.0	2.0	0.0	13.0	19.0	15.0
27.0	6	2.5	6.0	5.0	2.0	1.0	13.0	19.0	4.0
4.75	8	2.5	5.0	4.0	2.0	1.0	13.0	19.0	4.0
5.0	8	3.0	6.0	4.0	2.0	1.0	13.0	19.0	4.0
5.0	10	2.5	4.0	4.0	2.0	1.0	13.0	19.0	17.0
4.5	23	3.0	3.0	3.0	2.0	1.0	20.0	19.0	4.0
4.5	5	1.0	2.0	1.0	2.0	1.0	20.0	20.0	14.0
4.125	7	3.0	5.0	4.0	2.0	1.0	20.0	19.0	27.0
3.75	7	3.0	4.0	4.0	2.0	1.0	13.0	19.0	17.0
4.0	8	3.0	6.0	4.0	2.0	1.0	13.0	19.0	27.0
6.5	10	2.5	6.0	7.0	2.0	1.0	14.0	19.0	4.0
8.0	4	2.0	4.0	5.0	2.0	1.0	20.0	19.0	17.0
2.8125	5	2.5	3.0	3.0	2.0	1.0	20.0	21.0	17.0
5.0	4	2.0	4.0	4.0	2.0	1.0	16.0	19.0	17.0
3.5	4	2.0	3.0	2.0	2.0	1.0	12.0	22.0	1.0
4.5	22	2.5	3.0	4.0	2.0	0.0	20.0	19.0	4.0
6.0	21	3.0	5.0	5.0	2.0	1.0	13.0	19.0	4.0
4.0	5	3.5	2.5	2.5	2.0	1.0	13.0	19.0	25.0
4.75	8	2.5	5.0	4.0	2.0	1.0	12.0	21.0	4.0
5.25	4	2.5	4.0	5.0	2.0	1.0	15.0	19.0	4.0
5.5	10	2.5	5.0	4.0	2.0	1.0	13.0	19.0	4.0
4.5	8	2.5	4.0	4.0	2.0	1.0	20.0	19.0	17.0
8.0	7	2.0	3.0	4.0	2.0	0.0	12.0	19.0	15.0
10.0	5	2.5	2.5	2.5	2.0	1.0	20.0	19.0	15.0
4.25	4	2.5	2.5	2.5	2.0	1.0	13.0	19.0	4.0
5.8547560258	5	2.5	2.5	2.5	2.0	1.0	14.0	21.0	3.0
16.0	7	2.5	4.0	4.0	2.0	0.0	16.0	19.0	15.0
18.0	7	2.5	2.5	2.5	2.0	0.0	12.0	19.0	15.0
20.0	8	2.5	11.0	4.0	2.0	0.0	12.0	19.0	15.0
20.0	5	1.5	8.0	2.5	2.0	1.0	13.0	20.0	6.0
7.0	6	2.0	6.0	3.0	2.0	0.0	20.0	19.0	15.0
4.5	15	2.5	4.0	4.0	2.0	0.0	16.0	19.0	17.0
4.0	5	2.5	2.5	2.5	2.0	1.0	10.0	21.0	21.0
16.0	5	2.5	7.0	6.0	2.0	1.0	15.0	19.0	15.0
16.0	3	2.5	4.0	3.0	2.0	1.0	13.0	19.0	27.0
4.0	5	1.0	2.5	2.5	2.0	1.0	20.0	22.0	14.0
6.0	5	3.5	2.5	2.5	2.0	1.0	16.0	19.0	17.0
30.0	7	2.0	5.0	5.0	2.0	1.0	12.0	19.0	27.0
6.25	9	2.5	6.0	5.0	2.0	1.0	12.0	19.0	4.0
8.0	8	2.5	4.0	4.0	2.0	0.0	12.0	19.0	15.0
8.0	4	2.0	5.0	6.0	2.0	1.0	12.0	19.0	17.0
5.0	4	3.5	6.0	5.0	2.0	1.0	13.0	19.0	4.0
8.5	23	2.5	6.0	7.0	2.0	1.0	13.0	19.0	17.0
21.0	6	2.5	6.0	6.0	2.0	1.0	20.0	19.0	4.0
3.75	10	2.5	5.0	5.0	2.0	1.0	16.0	19.0	4.0
5.5	12	2.5	4.0	4.0	2.0	1.0	13.0	19.0	17.0
32.0	6	2.5	10.0	10.0	2.0	0.0	20.0	19.0	17.0
5.0	6	2.5	5.0	4.0	2.0	1.0	20.0	21.0	17.0
8.5	14	2.5	6.0	7.0	2.0	1.0	13.0	20.0	17.0
6.5	4	2.5	5.0	5.0	2.0	1.0	15.0	19.0	4.0
5.0	4	2.5	4.0	4.0	2.0	1.0	15.0	19.0	17.0
4.5	5	3.5	2.5	3.0	2.0	1.0	13.0	21.0	21.0
15.0	4	2.5	4.0	3.0	2.0	0.0	30.0	19.0	15.0
4.6875	3	2.5	6.0	5.0	2.0	1.0	20.0	20.0	4.0
5.0	4	2.5	6.0	5.0	2.0	1.0	13.0	20.0	4.0
10.6875	7	2.0	4.0	3.0	2.0	1.0	20.0	19.0	21.0
15.0	5	2.5	5.0	6.0	2.0	1.0	15.0	19.0	4.0
15.0	6	5.0	2.5	2.5	0.0	0.0	20.0	19.0	17.0
3.5	3	1.0	2.5	2.5	2.0	1.0	20.0	19.0	14.0
4.0	3	2.5	11.0	5.0	2.0	1.0	13.0	19.0	15.0
4.5	8	2.5	5.0	4.0	2.0	1.0	13.0	20.0	17.0
75.0	6	2.5	6.0	4.0	2.0	1.0	22.0	20.0	11.0
4.0	5	2.5	5.0	3.0	2.0	1.0	12.0	21.0	25.0
3.9375	6	2.5	4.0	4.0	2.0	1.0	20.0	21.0	17.0
4.5	5	2.5	4.0	3.0	2.0	1.0	26.0	20.0	17.0
3.75	6	3.5	10.0	3.0	2.0	1.0	10.0	20.0	7.0
3.75	5	5.0	2.5	2.5	0.0	0.0	20.0	19.0	4.0
8.0	6	2.5	4.0	4.0	2.0	1.0	13.0	19.0	24.0
5.0	4	2.5	4.0	4.0	2.0	1.0	15.0	19.0	17.0
6.0	4	2.5	6.0	4.0	2.0	1.0	22.0	19.0	17.0
4.0	8	2.5	4.0	4.0	2.0	1.0	14.0	21.0	17.0
4.0	4	3.5	10.0	3.0	2.0	1.0	12.0	22.0	12.0
3.5	5	2.5	2.5	2.5	2.0	1.0	13.0	20.0	12.0
8.0	7	3.0	8.0	4.0	2.0	1.0	12.0	19.0	4.0
3.0	4	2.5	8.0	2.5	2.0	1.0	13.0	19.0	6.0
5.0	6	2.5	3.0	4.0	2.0	0.0	20.0	21.0	21.0
8.0	12	2.5	5.0	4.0	2.0	1.0	13.0	21.0	16.0
3.5	5	2.5	4.0	4.0	2.0	1.0	11.0	21.0	19.0
6.25	6	2.5	2.5	2.5	2.0	1.0	10.0	19.0	17.0
19.0	4	2.5	11.0	9.0	2.0	1.0	12.0	19.0	21.0
